id,material,recovery,cost,type
1,coke,60,21,sg_iron
2,fe-si,70,76,sg_iron
3,fe-mn,60,61,sg_iron
4,copper,99,470,sg_iron
5,graphite,85,52,sg_iron
6,fe-mo,54,1100,sg_iron
7,new_sand,0,3,sand_cost
8,bentonite,0,4.5,sand_cost
9,lustron,0,21,sand_cost
10,washed_sand,0,3.5,cold_cost
11,resin,0,82,cold_cost
12,hardener,0,174,cold_cost
13,amine,0,158,cold_cost
14,fe-si-mg,10,120,treatment_cost
15,cov_steel,10,30,treatment_cost
16,preconditioning_inoculant,3,76,treatment_cost
17,stream_inoculant,1.61,160,treatment_cost
18,preconditioning_inoculant,1.5,29.5,gray_treatment_cost
19,stream_inoculant,1.2,78,gray_treatment_cost
20,crca,0,30,crca
21,pig_iron,0,31,pig_iron
22,foundry,0,30,foundry
23,boring,0,22.5,boring
24,CPC,90,50,gray_iron
25,Fe-Si,70,19.5,gray_iron
26,Copper,99,470,gray_iron
27,Fe-Mn,60,61,gray_iron
28,Fe-Cr,60,68,gray_iron
29,Tin,100,1411,gray_iron
30,ED Coating,0,187,ed_coating
