"id","length","breadth","cope_height","drag_height","avl_length","avl_breadth"
"1","500","450","200","200","420","370"
"2","550","500","250","250","470","420"
"3","600","550","250","250","520","470"
"4","650","600","300","300","570","520"
"5","700","600","300","300","620","520"
"6","750","650","300","300","670","570"
"7","900","700","300","300","820","620"
"8","1000","800","350","350","920","720"
"9","1100","900","400","400","1020","820"
"10","1200","1000","400","400","1120","920"
"11","1400","1200","400","400","1320","1120"
